,oil,gas,dp
105043,34578.59702,209.675774,1838.951454357415
85360,34578.59702,209.675774,1838.951454357415
89734,34576.57302,209.677963,1838.8357561727903
109417,34576.57302,209.677963,1838.8357561727903
107230,34576.56302,209.677858,1838.835736066669
87547,34576.56302,209.677858,1838.835736066669
5481,34503.32802,208.83156899999997,1844.2569161697297
3294,34503.32002,208.831564,1844.2569355817927
1107,34503.32002,208.831564,1844.2568960705878
164092,34364.82703000001,212.75101999999998,2027.444737463019
144409,34364.82703000001,212.75101999999998,2027.444737463019
148783,34361.11003,212.72734000000003,2026.72584091342
146596,34361.11003,212.72734000000003,2026.72580524364
168466,34361.11003,212.72734000000003,2026.72584091342
166279,34361.11003,212.72734000000003,2026.72580524364
121392,34253.29903000001,211.69655999999998,2031.35253524411
119205,34253.28003,211.69655999999998,2031.3504182440902
123579,34253.26903000001,211.69654999999997,2031.3513479138799
44847,34072.598020000005,204.712071,1810.2508657368442
25164,34072.598020000005,204.712071,1810.2508657368442
42660,34072.57402000001,204.71204,1810.2508254299996
22977,34072.57402000001,204.71204,1810.2508254299996
20790,34072.57402000001,204.71204,1810.2498164299996
40473,34072.57402000001,204.71204,1810.2498164299996
30685,34011.04402,207.21369700000005,1817.1421151700001
50368,34011.04402,207.21369700000005,1817.1421151700001
48181,34010.41202,207.213296,1817.0861761800002
28498,34010.41202,207.213296,1817.0861761800002
45994,34010.29602000001,207.212506,1817.066277218873
26311,34010.29602000001,207.212506,1817.066277218873
51165,33998.41803000001,207.251182,1958.30999761778
31482,33998.41803000001,207.251182,1958.30999761778
46791,33998.385030000005,207.251157,1958.30694724076
27108,33998.385030000005,207.251157,1958.30694724076
48978,33998.385030000005,207.251257,1958.3040354266004
29295,33998.385030000005,207.251257,1958.3040354266004
83416,33984.81403000001,207.963581,1945.9603467660136
103099,33984.81403000001,207.963581,1945.9603467660136
100912,33984.80303000001,207.96356500000002,1945.9593458042134
98725,33984.80303000001,207.96356500000002,1945.9593461508398
79042,33984.80303000001,207.96356500000002,1945.9593461508398
81229,33984.80303000001,207.96356500000002,1945.9593458042134
63733,33976.74803000001,207.95840800000002,1945.198475577205
61546,33976.71503000001,207.95838300000003,1945.1954264238484
59359,33976.68503000001,207.95818300000002,1945.1869250374784
105044,33962.53304,212.11434000000003,2145.0543882119982
85361,33962.53304,212.11434000000003,2145.0543882119982
85334,33962.41304000001,212.11378000000002,2145.0628362242214
105017,33962.41304000001,212.11378000000002,2145.0628362242214
144410,33961.80904000001,212.11094000000003,2145.099220054619
164093,33961.80904000001,212.11094000000003,2145.099220054619
144383,33961.46704,212.10920000000002,2145.120212228988
